stt,nguonthu,so tien,ngay
0001,thưởng(đi làm),250000,25/12/2023
0002,tiền bán sách,280000,08/02/2022
0003,tiền bảo hiểm,490000,12/02/2023
0004,tiền bảo hiểm,590000,23/06/2022
0005,tiền hoa hồng,220000,10/04/2022
0006,tiền bán sách,110000,04/01/2023
0007,thưởng(đi làm),220000,28/09/2023
0008,tiền hoa hồng,390000,30/09/2022
0009,tiền bán vé số,190000,08/01/2023
0010,tiền bán vé số,210000,10/02/2022
0011,lương,120000,26/12/2023
0012,buôn bán,360000,21/04/2023
0013,tiền bố mẹ,1630000,15/11/2023
0014,tiền bảo hiểm,910000,01/05/2023
0015,tiền bảo hiểm,820000,13/09/2023
0016,thưởng(học tập),50000,03/03/2023
0017,thưởng(học tập),90000,21/05/2022
0018,lương,150000,24/02/2023
0019,lương,180000,22/07/2023
0020,tiền hoa hồng,460000,15/09/2023
0021,học bổng,1200000,25/06/2023
0022,tiền bán sách,190000,01/12/2022
0023,thưởng(đi làm),160000,19/10/2023
0024,lương,150000,16/01/2022
0025,tiền bảo hiểm,480000,03/07/2022
0026,thưởng(học tập),220000,23/12/2022
0027,học bổng,930000,16/07/2022
0028,tiền hoa hồng,390000,22/07/2023
0029,tiền hoa hồng,310000,23/10/2022
0030,tiền hoa hồng,240000,28/07/2022
0031,tiền bán hàng,490000,07/07/2022
0032,buôn bán,300000,09/07/2023
0033,lương,160000,03/06/2023
0034,thưởng(đi làm),220000,22/08/2022
0035,tiền bán vé số,350000,05/12/2023
0036,thưởng(đi làm),480000,08/09/2023
0037,tiền bán đồ,300000,21/06/2023
0038,tiền bán hàng,360000,12/01/2022
0039,tiền hoa hồng,290000,23/01/2022
0040,thưởng(học tập),180000,08/06/2022
0041,tiền bán sách,110000,04/05/2023
0042,tiền bán đồ,310000,16/06/2023
0043,tiền bố mẹ,1990000,15/12/2022
0044,học bổng,950000,03/05/2022
0045,tiền bán hàng,140000,29/08/2022
0046,tiền hoa hồng,460000,03/05/2023
0047,thưởng(học tập),100000,20/01/2023
0048,thưởng(học tập),380000,08/01/2022
0049,học bổng,1140000,10/01/2023
0050,tiền bảo hiểm,210000,29/10/2023
0051,lương,100000,03/05/2022
0052,tiền bán đồ,150000,14/10/2023
